t,Média móvel
-5.14327999761,-0.9877717391304348
-5.14323999761,-0.9904891304347826
-5.14319999761,-0.993131038647343
-5.14315999761,-0.9955464975845412
-5.14311999761,-0.9976600241545892
-5.14307999761,-0.9997735507246376
-5.14303999761,-1.0016606280193237
-5.14299999761,-1.0036231884057971
-5.14295999761,-1.005510265700483
-5.14291999761,-1.0074728260869563
-5.14287999761,-1.009284420289855
-5.14283999761,-1.0110960144927537
-5.14279999761,-1.0130585748792271
-5.14275999761,-1.0151721014492754
-5.14271999761,-1.017210144927536
-5.14267999761,-1.0191727053140096
-5.14263999761,-1.0212107487922706
-5.14259999761,-1.0232487922705311
-5.14255999761,-1.02506038647343
-5.14251999761,-1.026947463768116
-5.14247999761,-1.0289855072463767
-5.14243999761,-1.0310235507246377
-5.14239999761,-1.0329861111111112
-5.14235999761,-1.0349486714975846
-5.14231999761,-1.036911231884058
-5.14227999761,-1.0387228260869563
-5.14223999761,-1.0403834541062802
-5.14219999761,-1.041893115942029
-5.14215999761,-1.042949879227053
-5.14211999761,-1.0437047101449275
-5.14207999761,-1.0446105072463767
-5.14203999761,-1.0453653381642511
-5.14199999761,-1.046195652173913
-5.14195999761,-1.0470259661835748
-5.14191999761,-1.0479317632850242
-5.14187999761,-1.048762077294686
-5.14183999761,-1.0495169082125604
-5.14179999761,-1.0503472222222223
-5.14175999761,-1.051177536231884
-5.14171999761,-1.0521588164251208
-5.14167999761,-1.0529891304347827
-5.14163999761,-1.053743961352657
-5.14159999761,-1.0544987922705311
-5.14155999761,-1.0553291062801933
-5.14151999761,-1.056159420289855
-5.14147999761,-1.0569142512077294
-5.14143999761,-1.0575935990338163
-5.14139999761,-1.0583484299516908
-5.14135999761,-1.0593297101449275
-5.14131999761,-1.060084541062802
-5.14127999761,-1.0606884057971016
-5.14123999761,-1.0611413043478262
-5.14119999761,-1.0609903381642511
-5.14115999761,-1.0608393719806763
-5.14111999761,-1.0605374396135263
-5.14107999761,-1.0601600241545894
-5.14103999761,-1.0598580917874396
-5.14099999761,-1.0595561594202898
-5.14095999761,-1.0593297101449275
-5.14091999761,-1.0589522946859904
-5.14087999761,-1.058574879227053
-5.14083999761,-1.0582729468599037
-5.14079999761,-1.0579710144927537
-5.14075999761,-1.0575935990338163
-5.14071999761,-1.0572916666666667
-5.14067999761,-1.0569142512077294
-5.14063999761,-1.0564613526570048
-5.14059999761,-1.0560839371980677
-5.14055999761,-1.0557065217391304
-5.14051999761,-1.0555555555555556
-5.14047999761,-1.0551781400966185
-5.14043999761,-1.0548007246376812
-5.14039999761,-1.054423309178744
-5.14035999761,-1.0539704106280192
-5.14031999761,-1.053215579710145
-5.14027999761,-1.0524607487922706
-5.14023999761,-1.051177536231884
-5.14019999761,-1.0498188405797102
-5.14015999761,-1.0483091787439611
-5.14011999761,-1.046875
-5.14007999761,-1.045289855072464
-5.14003999761,-1.0437047101449275
-5.13999999761,-1.0421950483091786
-5.13995999761,-1.0407608695652173
-5.13991999761,-1.0392512077294689
-5.13987999761,-1.037817028985507
-5.13983999761,-1.0361564009661837
-5.13979999761,-1.0346467391304348
-5.13975999761,-1.033137077294686
-5.13971999761,-1.0314764492753623
-5.13967999761,-1.030042270531401
-5.13963999761,-1.0286835748792271
-5.13959999761,-1.0270984299516908
-5.13955999761,-1.025588768115942
-5.13951999761,-1.0241545893719808
-5.13947999761,-1.0227958937198067
-5.13943999761,-1.0213617149758454
-5.13939999761,-1.019927536231884
-5.13935999761,-1.0182669082125604
-5.13931999761,-1.0162288647342994
-5.13927999761,-1.0138888888888888
-5.13923999761,-1.0113979468599037
-5.13919999761,-1.0088315217391304
-5.13915999761,-1.0061141304347827
-5.13911999761,-1.0035477053140096
-5.13907999761,-1.0009057971014492
-5.13903999761,-0.9982638888888888
-5.13899999761,-0.995697463768116
-5.13895999761,-0.9932065217391304
-5.13891999761,-0.99056461352657
-5.13887999761,-0.9879981884057972
-5.13883999761,-0.9855072463768116
