t,peaks
-9.82199999523,-0.034238300000000006
-9.41759999523,0.0236914
-9.02199999523,-0.043027340000000004
-8.61239999523,0.0231055
-8.23839999523,-0.027011700000000003
-7.77839999523,0.0134375
-7.30679999523,-0.031894500000000006
-7.04479999523,0.0114844
-6.53919999523,-0.027011700000000003
-6.04479999523,0.0117773
-5.57359999523,-0.030722700000000006
-5.14999999523,0.0129492
-4.82359999523,-0.03501950000000001
-4.41039999523,0.0153906
-3.97359999523,-0.033359400000000004
-3.59399999523,0.0153906
-3.03879999523,-0.032578100000000006
-2.73279999523,0.0204687
-2.30399999523,-0.039707000000000006
-1.99959999523,0.0219336
-1.45439999523,-0.044003900000000006
-1.03279999523,0.0224219
-0.804799995227,-0.03716800000000001
-0.243199995228,0.0253516
0.357200004772,-0.040488300000000005
0.651200004772,0.0268164
1.06040000477,-0.048984370000000006
1.42400000477,0.0270117
1.81200000477,-0.038828100000000004
2.29040000477,0.0231055
2.67720000477,-0.04156249000000001
3.10680000477,0.0229102
3.62600000477,-0.042832020000000005
3.87280000477,0.0233008
4.52760000477,-0.039707000000000006
4.80680000477,0.0250586
5.19200000477,-0.047421870000000005
5.64040000477,0.0256445
6.07960000477,-0.04615234000000001
6.38960000477,0.0253516
6.92960000477,-0.048398430000000006
7.33400000477,0.0238867
7.75920000477,-0.04205078
8.23400000477,0.0234961
8.47840000477,-0.04917968
8.99000000477,0.0251563
9.31040000477,-0.04468749
9.93400000477,0.0229102
9.99720000477,-0.054062490000000005
