t,Média móvel
-9.59039999523,0.00191806745078125
-9.58999999523,0.001929034696875
-9.58959999523,0.001940383452734375
-9.58919999523,0.001954211714453125
-9.58879999523,0.0019741435015625
-9.58839999523,0.0019854922222656253
-9.58799999523,0.001992930884375
-9.58759999523,0.001998366851171875
-9.58719999523,0.002005710093359375
-9.58679999523,0.00201972914609375
-9.58639999523,0.002024688257421875
-9.58599999523,0.00203451109921875
-9.58559999523,0.00204776719296875
-9.58519999523,0.0020637888921874997
-9.58479999523,0.00208171793515625
-9.58439999523,0.0021043200249999997
-9.58399999523,0.002126636011328125
-9.58359999523,0.002148951987890625
-9.58319999523,0.0021745104742187504
-9.58279999523,0.0021953959917968753
-9.58239999523,0.002213420444921875
-9.58199999523,0.002232112446875
-9.58159999523,0.0022555728667968747
-9.58119999523,0.002283515542578125
-9.58079999523,0.0023099323394531247
-9.58039999523,0.0023316761578125
-9.57999999523,0.002352084741796875
-9.57959999523,0.002376308071875
-9.57919999523,0.0023995776812500004
-9.57879999523,0.0024208445953125
-9.57839999523,0.0024439235015625
-9.57799999523,0.0024664302398437503
-9.57759999523,0.0024859805621093747
-9.57719999523,0.00250419570859375
-9.57679999523,0.0025224108648437497
-9.57639999523,0.002541675073828125
-9.57599999523,0.0025576014703125
-9.57559999523,0.0025714297515625
-9.57519999523,0.002592410620703125
-9.57479999523,0.0026019473785156254
-9.57439999523,0.002615298844335938
-9.57399999523,0.0026255031783203125
-9.57359999523,0.002639712901953125
-9.57319999523,0.0026557345914062502
-9.57279999523,0.00266612965
-9.57239999523,0.0026764293375000003
-9.57199999523,0.002686252183203125
-9.57159999523,0.002695312089453125
-9.57119999523,0.00270675618125
-9.57079999523,0.0027201075875000003
-9.57039999523,0.002734508066015625
-9.56999999523,0.002750720507421875
-9.56959999523,0.002767409853125
-9.56919999523,0.0027825733062499997
-9.56879999523,0.002798022866796875
-9.56839999523,0.002813567788671875
-9.56799999523,0.002829780210546875
-9.56759999523,0.00284685102109375
-9.56719999523,0.00287498441953125
-9.56679999523,0.0028936763921875
-9.56639999523,0.002910174956640625
-9.56599999523,0.0029281040289062497
-9.56559999523,0.0029473682476562502
-9.56519999523,0.00297588309140625
-9.56479999523,0.002999057398046875
-9.56439999523,0.0030225178082031253
-9.56399999523,0.003043975503515625
-9.56359999523,0.003064765620703125
-9.56319999523,0.003085841831640625
-9.56279999523,0.00310462922421875
-9.56239999523,0.0031197926587890625
-9.56199999523,0.0031372448951171874
-9.56159999523,0.0031547924732421876
-9.56119999523,0.003170814183203125
-9.56079999523,0.003187694202734375
-9.56039999523,0.0032085796421875
-9.55999999523,0.0032285114585937497
-9.55959999523,0.0032490154234375
-9.55919999523,0.0032637973667968747
-9.55879999523,0.0032682796324218747
-9.55839999523,0.00327247579453125
-9.55799999523,0.0032745738804687502
-9.55759999523,0.00327600438828125
-9.55719999523,0.0032844920933593753
-9.55679999523,0.0032892604624999997
-9.55639999523,0.003298225003515625
-9.55599999523,0.0033085246617187503
-9.55559999523,0.003318919682226562
-9.55519999523,0.0033288378716796875
-9.55479999523,0.0033359904205078126
-9.55439999523,0.0033410449419921874
-9.55399999523,0.0033474345708984377
-9.55359999523,0.0033554453912109376
-9.55319999523,0.003363933135351563
-9.55279999523,0.0033740421099609378
-9.55239999523,0.0033863445337890628
-9.55199999523,0.0034004589380859374
-9.55159999523,0.0034181972378906247
-9.55119999523,0.003436507775
-9.55079999523,0.0034506221890625
-9.55039999523,0.00346807447421875
-9.54999999523,0.0034833332457031253
-9.54959999523,0.00349678003671875
-9.54919999523,0.0035128017750000002
-9.54879999523,0.003528918835546875
-9.54839999523,0.003548755222265625
-9.54799999523,0.00356830554453125
-9.54759999523,0.00358737906015625
-9.54719999523,0.003607310905859375
-9.54679999523,0.0036281010328125
-9.54639999523,0.003649177211328125
-9.54599999523,0.0036683460843750003
-9.54559999523,0.003690375957421875
-9.54519999523,0.0037119290287109374
-9.54479999523,0.0037317654544921875
-9.54439999523,0.0037512204544921874
-9.54399999523,0.0037729642533203124
-9.54359999523,0.0037946126615234373
-9.54319999523,0.00380844093984375
-9.54279999523,0.003818073039453125
-9.54239999523,0.00382665605703125
-9.54199999523,0.003833331730859375
-9.54159999523,0.003840865773828125
-9.54119999523,0.0038533588705078124
-9.54079999523,0.0038655659310546874
-9.54039999523,0.0038795849740234376
-9.53999999523,0.00389169665703125
-9.53959999523,0.0039025685125
-9.53919999523,0.003918208765429688
-9.53879999523,0.003933848980273438
-9.53839999523,0.003941955210742187
-9.53799999523,0.003954448355273438
-9.53759999523,0.003972377417773438
-9.53719999523,0.003993644351367188
-9.53679999523,0.004015674263476563
-9.53639999523,0.0040339847869140626
-9.53599999523,0.004053630509570312
-9.53559999523,0.004075278937304688
-9.53519999523,0.004089297941210937
-9.53479999523,0.004104747472460937
-9.53439999523,0.004122104388476562
-9.53399999523,0.004141654681445312
-9.53359999523,0.004158725462695312
-9.53319999523,0.004180373851367188
-9.53279999523,0.004200687074023437
-9.53239999523,0.004225864056445313
-9.53199999523,0.004249896663867187
-9.53159999523,0.004273929290820313
-9.53119999523,0.004298629495898438
-9.53079999523,0.0043234250037109375
-9.53039999523,0.004343642845507813
-9.52999999523,0.004362048714648438
-9.52959999523,0.004385509115039062
-9.52919999523,0.004409827825976562
-9.52879999523,0.004436530736132813
-9.52839999523,0.0044600864685546875
-9.52799999523,0.004482783870898438
-9.52759999523,0.004506721107226563
-9.52719999523,0.0045261761072265625
-9.52679999523,0.004547252337695313
-9.52639999523,0.004566993353320312
